Project Name,Path,Type,,Type,计数项:Type
holojam_HolojamSDK-Unity,E:\1_my_project\dataset\repos\holojam_HolojamSDK-Unity,Unknown,,,
hyperlogic_splatapult,E:\1_my_project\dataset\repos\hyperlogic_splatapult,NativeVR(C++),,,
I5UCC_VRCTextboxSTT,E:\1_my_project\dataset\repos\I5UCC_VRCTextboxSTT,Unknown,,,
iamtomhewitt_jet-dash-vr,E:\1_my_project\dataset\repos\iamtomhewitt_jet-dash-vr,Unity(C#),,,
iamtomhewitt_vr-pacman,E:\1_my_project\dataset\repos\iamtomhewitt_vr-pacman,Unity(C#),,,
icosa-gallery_open-brush,E:\1_my_project\dataset\repos\icosa-gallery_open-brush,Unity(C#),,,
immersivecognition_unity-experiment-framework,E:\1_my_project\dataset\repos\immersivecognition_unity-experiment-framework,Unity(C#),,,
Innoactive_Creator,E:\1_my_project\dataset\repos\Innoactive_Creator,Unity C# 插件化,,,
intiface_intiface-game-haptics-router,E:\1_my_project\dataset\repos\intiface_intiface-game-haptics-router,Unity C# 插件化,,,
Jamy4000_VRDF,E:\1_my_project\dataset\repos\Jamy4000_VRDF,Unity(C#),,,
JaneliaSciComp_janelia-unity-toolkit,E:\1_my_project\dataset\repos\JaneliaSciComp_janelia-unity-toolkit,Unknown,,,
JAYESHBATRA_Virtuo-Learn,E:\1_my_project\dataset\repos\JAYESHBATRA_Virtuo-Learn,Unknown,,,
jcorvinus_HandshakeVR,E:\1_my_project\dataset\repos\jcorvinus_HandshakeVR,Unity(C#),,,
jdmayer_VR_Esclab,E:\1_my_project\dataset\repos\jdmayer_VR_Esclab,Unity(C#),,,
Joshuarox100_VRC-Inventory-Inventor,E:\1_my_project\dataset\repos\Joshuarox100_VRC-Inventory-Inventor,Unity C# 插件化,,,
JPMMaia_interactive-collaboration-platform-in-AR,E:\1_my_project\dataset\repos\JPMMaia_interactive-collaboration-platform-in-AR,Unity(C#),,,
JScott_ViveGrip,E:\1_my_project\dataset\repos\JScott_ViveGrip,Unity(C#),,,
JWdori_VR-MCT,E:\1_my_project\dataset\repos\JWdori_VR-MCT,Unity(C#),,,
KandoozStudio_Kinteractions-VR,E:\1_my_project\dataset\repos\KandoozStudio_Kinteractions-VR,Unity C# 插件化,,,
knah_VRCMods,E:\1_my_project\dataset\repos\knah_VRCMods,Unity C# 插件化,,,
kurotu_VRCQuestTools,E:\1_my_project\dataset\repos\kurotu_VRCQuestTools,Unity(C#),,,
leapmotion_Paint,E:\1_my_project\dataset\repos\leapmotion_Paint,Unity(C#),,,
Louis-de-Lavenne-de-Choulot_ALGOSUP_2022_Project_4_F,E:\1_my_project\dataset\repos\Louis-de-Lavenne-de-Choulot_ALGOSUP_2022_Project_4_F,Unity(C#),,,
Mastergalen_Supermarket-Sim,E:\1_my_project\dataset\repos\Mastergalen_Supermarket-Sim,Unity(C#),,,
mateo-a_holbertonschool-csharp,E:\1_my_project\dataset\repos\mateo-a_holbertonschool-csharp,Unknown,,,
Math0424_SpaceEngineersVR,E:\1_my_project\dataset\repos\Math0424_SpaceEngineersVR,Unity(C#),,,
MatrikMoon_TournamentAssistant,E:\1_my_project\dataset\repos\MatrikMoon_TournamentAssistant,Unknown,,,
matryx_calcflow,E:\1_my_project\dataset\repos\matryx_calcflow,Unity(C#),,,
MayouKurayami_KK_CyuVR,E:\1_my_project\dataset\repos\MayouKurayami_KK_CyuVR,Unity C# 插件化,,,
MayouKurayami_KK_SetParentVR,E:\1_my_project\dataset\repos\MayouKurayami_KK_SetParentVR,Unity C# 插件化,,,
MephestoKhaan_HandPosing,E:\1_my_project\dataset\repos\MephestoKhaan_HandPosing,Unity C# 插件化,,,
mgschwan_VRWorkout,E:\1_my_project\dataset\repos\mgschwan_VRWorkout,Unknown,,,
mhwlng_fip-elite,E:\1_my_project\dataset\repos\mhwlng_fip-elite,Unknown,,,
microsoft_mixed-reality-extension-unity,E:\1_my_project\dataset\repos\microsoft_mixed-reality-extension-unity,Unity C# 插件化,,,
microsoft_MixedReality-WebRTC,E:\1_my_project\dataset\repos\microsoft_MixedReality-WebRTC,Unity C# 插件化,,,
microsoft_MixedRealityToolkit-Unity,E:\1_my_project\dataset\repos\microsoft_MixedRealityToolkit-Unity,Unity(C#),,,
MinadukiSekina_VRCToolBox,E:\1_my_project\dataset\repos\MinadukiSekina_VRCToolBox,Unity C# 插件化,,,
misyaguziya_VRCT,E:\1_my_project\dataset\repos\misyaguziya_VRCT,Unity C# 插件化,,,
monkog_3D-Virtual-Fitting-Room,E:\1_my_project\dataset\repos\monkog_3D-Virtual-Fitting-Room,Unity C# 插件化,,,
MoonMotionProject_MoonMotion,E:\1_my_project\dataset\repos\MoonMotionProject_MoonMotion,Unity(C#),,,
MozillaReality_FirefoxRealityPC,E:\1_my_project\dataset\repos\MozillaReality_FirefoxRealityPC,Unity C# 插件化,,,
MPIB_arc-vr,E:\1_my_project\dataset\repos\MPIB_arc-vr,Unity(C#),,,
myieye_cube-arena,E:\1_my_project\dataset\repos\myieye_cube-arena,Unity(C#),,,
mynameisjohn_wrapVR,E:\1_my_project\dataset\repos\mynameisjohn_wrapVR,Unity C# 插件化,,,
nadir500_USN-VR-Unilateral-spatial-neglect-virtual-reality,E:\1_my_project\dataset\repos\nadir500_USN-VR-Unilateral-spatial-neglect-virtual-reality,Unity(C#),,,
nicoco007_DynamicOpenVR,E:\1_my_project\dataset\repos\nicoco007_DynamicOpenVR,Unity C# 插件化,,,
nightingaleproject_vrdr-dotnet,E:\1_my_project\dataset\repos\nightingaleproject_vrdr-dotnet,Unity C# 插件化,,,
nikhilnxvverma1_vr-photo-album,E:\1_my_project\dataset\repos\nikhilnxvverma1_vr-photo-album,Unity(C#),,,
Noxalus_VR-Escape-Room,E:\1_my_project\dataset\repos\Noxalus_VR-Escape-Room,Unity C# 插件化,,,
oliviasculley_nervv,E:\1_my_project\dataset\repos\oliviasculley_nervv,Unity(C#),,,
omar92_RhythmAttack-VR,E:\1_my_project\dataset\repos\omar92_RhythmAttack-VR,Unity(C#),,,
oneVR_VRWorldToolkit,E:\1_my_project\dataset\repos\oneVR_VRWorldToolkit,Unity C# 插件化,,,
Oscheibe_ARIndoorNav,E:\1_my_project\dataset\repos\Oscheibe_ARIndoorNav,Unity(C#),,,
osmosacademy_vr-passport,E:\1_my_project\dataset\repos\osmosacademy_vr-passport,Unity(C#),,,
OSVR_OSVR-Unity,E:\1_my_project\dataset\repos\OSVR_OSVR-Unity,Unity(C#),,,
paulmriordan_MusicVR,E:\1_my_project\dataset\repos\paulmriordan_MusicVR,Unity(C#),,,
pcriadoperez_readyPlayer2,E:\1_my_project\dataset\repos\pcriadoperez_readyPlayer2,Unity(C#),,,
PfeifferMicha_imhotep,E:\1_my_project\dataset\repos\PfeifferMicha_imhotep,Unity(C#),,,
pkshetlie_RagnaCustomsApp,E:\1_my_project\dataset\repos\pkshetlie_RagnaCustomsApp,Unity C# 插件化,,,
POINT-VR_POINT-VR-Chapter-1,E:\1_my_project\dataset\repos\POINT-VR_POINT-VR-Chapter-1,Unity(C#),,,
PontusAhlin_HorrorGame,E:\1_my_project\dataset\repos\PontusAhlin_HorrorGame,Unity(C#),,,
popabczhang_CityMatrixAR,E:\1_my_project\dataset\repos\popabczhang_CityMatrixAR,Unity(C#),,,
quintesse_PlayoVR,E:\1_my_project\dataset\repos\quintesse_PlayoVR,Unity(C#),,,
Rafapp_SJSU-MaterialsEngineering-VR-lab,E:\1_my_project\dataset\repos\Rafapp_SJSU-MaterialsEngineering-VR-lab,Unity(C#),,,
Raicuparta_nomai-vr,E:\1_my_project\dataset\repos\Raicuparta_nomai-vr,Unity C# 插件化,,,
rbennett22_Zelda_VR,E:\1_my_project\dataset\repos\rbennett22_Zelda_VR,Unity(C#),,,
realitycollective_com.realitytoolkit.core,E:\1_my_project\dataset\repos\realitycollective_com.realitytoolkit.core,Unity C# 插件化,,,
RealityVirtually2019_Bright,E:\1_my_project\dataset\repos\RealityVirtually2019_Bright,Unity(C#),,,
rh-galaxy_galaxyvr,E:\1_my_project\dataset\repos\rh-galaxy_galaxyvr,Unity(C#),,,
RhubarbVR_RhubarbVR_Old,E:\1_my_project\dataset\repos\RhubarbVR_RhubarbVR_Old,Unity C# 插件化,,,
Rigaro_VRProEP,E:\1_my_project\dataset\repos\Rigaro_VRProEP,Unity(C#),,,
rogerbarton_vr-modeling,E:\1_my_project\dataset\repos\rogerbarton_vr-modeling,Unity(C#),,,
ronellsicat_DxR,E:\1_my_project\dataset\repos\ronellsicat_DxR,Unity(C#),,,
RussellXie7_Unity_Hololens_Dev,E:\1_my_project\dataset\repos\RussellXie7_Unity_Hololens_Dev,Unity(C#),,,
Saarg_Dungeon-VR,E:\1_my_project\dataset\repos\Saarg_Dungeon-VR,Unity(C#),,,
Saticmotion_Vivista,E:\1_my_project\dataset\repos\Saticmotion_Vivista,Unity(C#),,,
Sauceke_LoveMachine,E:\1_my_project\dataset\repos\Sauceke_LoveMachine,Unity C# 插件化,,,
SGNLA_unity-arkit-plugin,E:\1_my_project\dataset\repos\SGNLA_unity-arkit-plugin,Unity(C#),,,
sh-akira_VirtualMotionCapture,E:\1_my_project\dataset\repos\sh-akira_VirtualMotionCapture,Unity(C#),,,
SkinnyDevi_MU-VR-Experience,E:\1_my_project\dataset\repos\SkinnyDevi_MU-VR-Experience,Unknown,,,
Soapwood_VXMusic,E:\1_my_project\dataset\repos\Soapwood_VXMusic,Unity C# 插件化,,,
SpaceVR-O1_Human,E:\1_my_project\dataset\repos\SpaceVR-O1_Human,Unity(C#),,,
stefaanvermassen_virtual-museum-app,E:\1_my_project\dataset\repos\stefaanvermassen_virtual-museum-app,Unity(C#),,,
Team-on_UnityGameTemplate,E:\1_my_project\dataset\repos\Team-on_UnityGameTemplate,Unity(C#),,,
tetra-fox_VRCMods,E:\1_my_project\dataset\repos\tetra-fox_VRCMods,Unity C# 插件化,,,
TomorrowTodayLabs_NewtonVR,E:\1_my_project\dataset\repos\TomorrowTodayLabs_NewtonVR,Unity(C#),,,
TrevTV_DawnVR,E:\1_my_project\dataset\repos\TrevTV_DawnVR,Unity C# 插件化,,,
TritonXR_VRUniverse,E:\1_my_project\dataset\repos\TritonXR_VRUniverse,Unity(C#),,,
Twometer_twometer-vr,E:\1_my_project\dataset\repos\Twometer_twometer-vr,Unknown,,,
ucsdlib_geiselVR,E:\1_my_project\dataset\repos\ucsdlib_geiselVR,Unity(C#),,,
ultraleap_UnityPlugin,E:\1_my_project\dataset\repos\ultraleap_UnityPlugin,Unity C# 插件化,,,
ultraleap_XR-Keyboard,E:\1_my_project\dataset\repos\ultraleap_XR-Keyboard,Unity(C#),,,
UMI3D_UMI3D-SDK,E:\1_my_project\dataset\repos\UMI3D_UMI3D-SDK,Unity(C#),,,
Unity-Technologies_EditorXR,E:\1_my_project\dataset\repos\Unity-Technologies_EditorXR,Unity C# 插件化,,,
Unity-Technologies_InputSystem,E:\1_my_project\dataset\repos\Unity-Technologies_InputSystem,Unity(C#),,,
uqidoacademy_PhysiotherapyVR,E:\1_my_project\dataset\repos\uqidoacademy_PhysiotherapyVR,Unity(C#),,,
ur-whitelab_simview,E:\1_my_project\dataset\repos\ur-whitelab_simview,Unknown,,,
vimeo_vimeo-unity-sdk,E:\1_my_project\dataset\repos\vimeo_vimeo-unity-sdk,Unity(C#),,,
VIRTUE-DBIS_virtual-exhibition-presenter,E:\1_my_project\dataset\repos\VIRTUE-DBIS_virtual-exhibition-presenter,Unity(C#),,,
VisActor_VRender,E:\1_my_project\dataset\repos\VisActor_VRender,Unknown,,,
vitrivr_vitrivr-vr,E:\1_my_project\dataset\repos\vitrivr_vitrivr-vr,Unity(C#),,,
Vivero_Kerbal-VR,E:\1_my_project\dataset\repos\Vivero_Kerbal-VR,Unknown,,,
ViveSoftware_ViveInputUtility-Unity,E:\1_my_project\dataset\repos\ViveSoftware_ViveInputUtility-Unity,Unity(C#),,,
VolcanicArts_VRCOSC,E:\1_my_project\dataset\repos\VolcanicArts_VRCOSC,Unity C# 插件化,,,
Vova-SH_AirAttack,E:\1_my_project\dataset\repos\Vova-SH_AirAttack,Unity(C#),,,
VPRL_Virginia-Philosophy-Reality-Lab,E:\1_my_project\dataset\repos\VPRL_Virginia-Philosophy-Reality-Lab,Unknown,,,
vradarserver_vrs,E:\1_my_project\dataset\repos\vradarserver_vrs,Unity C# 插件化,,,
vrc-get_vrc-get,E:\1_my_project\dataset\repos\vrc-get_vrc-get,Unknown,,,
VRCBilliards_vrcbce,E:\1_my_project\dataset\repos\VRCBilliards_vrcbce,Unity C# 插件化,,,
VRCFury_VRCFury,E:\1_my_project\dataset\repos\VRCFury_VRCFury,Unity C# 插件化,,,
VRcolVento_ChatVRoom,E:\1_my_project\dataset\repos\VRcolVento_ChatVRoom,Unity(C#),,,
