project,CWE_id,commit_hash,commit_message,commit_date,files_changed,code_diff_summary
ameliacode_ColoringPotVR,CWE-355,e66d1ee5e1a713a85feb6b116cf5e05d8121e97d,"ADD | MOD: UI 누락 리소스 / UI 관련 스크립트 추가

1. 도자기를 다 만들었을 경우의 UI 제작하여 추가
2. 각 UI (Dialog) 별 스크립트 생성",,20,"共 1046 处添加, 83 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: 888956474b5272245a7f0b67e325a236; 添加: folderAsset: yes"
ameliacode_ColoringPotVR,CWE-355,756b449d5eacbb5bca938903d400683751d4aa04,MOD: UI 관련 스크립트 수정ㅇ,,16,"共 3860 处添加, 3390 处删除. 示例: 添加: %YAML 1.1; 添加: %TAG !u! tag:unity3d.com,2011:; 添加: --- !u!1 &1310434929099023941"
AmigoCap_ReViVD,CWE-355,1363cc28db6538bab35fbf80bf07d1c93811a3d2,Ajout d'une UI pour la sélection de traitements à effectuer (mode OR uniquement),,34,"共 1674 处添加, 71 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: 71365491acd9ad24b97a09850ed7dbfc; 添加: folderAsset: yes"
AmigoCap_ReViVD,CWE-1219,b83342681cfe000c86ff20f0d20af4c02aada60c,Moving files,,99,"共 1 处添加, 1 处删除. 示例: 删除: ![picture](img/teaser_article.png); 添加: ![picture](website/img/teaser_article.png)"
AmigoCap_ReViVD,CWE-389,b971694f580b4b0f30b512e4ac34aeef047d0a7b,fixed bugs,,2,"共 11 处添加, 14 处删除. 示例: 删除: Tools.AddSubClockStop(p.atoms.Count.ToString());; 删除: a.BaseColor = Color32.Lerp(startColor, endColor, (a.colorValue - AllTimeMinimumOfColorAttribute) / (AllTimeMinimumOfColo"
AmigoCap_ReViVD,CWE-133,dcfd9390594336da9491ab436a82eaa3161c9a15,Modification json display,,2,"共 2 处添加, 2 处删除. 示例: 删除: ```json; 添加: ```; 删除: ```json"
AndreasRoither_Virtual-interaction-library,CWE-136,ecc1e89da267347939fd85abe9654331626874df,Renamed Type,,1,"共 3 处添加, 3 处删除. 示例: 删除: protected bool HasComponent<C>(GameObject gameObject, out C component, bool inChildren = false) where C : class; 添加: protected bool HasComponent<T>(GameObject gameObject, out T"
arm0ky0_SteamVR_Toolkit_Unity,CWE-465,b9d566bba82ee93bcec7d793246d5f3e93942857,"chore(Pointer): add default target colours for pointer

As the shader is a transparent shader, the default colour when not
set is `Color.clear` which is also transparent which causes
confusion for users when using the script as the valid and invalid
target colours both have an alpha of zero.

This means that it's easy to set the colour of the target but forget
about setting the alpha so it seems as if the beams are broken but
in fact they are just completely transparent.

A simple solution is to just default the target colours with a
translucent colour so it's less confusing to new users.",,1,"共 2 处添加, 2 处删除. 示例: 删除: public Color validTargetColor;; 删除: public Color invalidTargetColor;; 添加: public Color validTargetColor = new Color(0f, 0.5f, 0f, 0.5f);"
arm0ky0_SteamVR_Toolkit_Unity,CWE-465,8baae717f8fd4f71587bae661bdf7535c586f880,"feat(Pointer): add ability to provide custom game objects for beam

The Bezier Pointer now can have a custom game object provided for the
tracer beam instead of using the default sphere and a custom game
object can be provided for the cursor instead of using the default
cylinder.",,3,"共 104 处添加, 36 处删除. 示例: 添加: Transform trackTransform;; 删除: public void Create(int setFrequency, float radius); 添加: public void Create(int setFrequency, float radius, GameObject tracer, Transform track)"
arm0ky0_SteamVR_Toolkit_Unity,CWE-569,d4df42dc06bbbfea2219e865dbbc173d485d90b2,"fix(spelling): fix error with attach and detach

Attach and Detach were both spelt incorrectly.",,13,"共 21 处添加, 21 处删除. 示例: 删除: if (grabbedObject && grabbedObject.GetComponent<VRTK_InteractableObject>() && grabbedObject.GetComponent<VRTK_InteractableObject>().AttatchIsTrackObject()); 添加: if (grabbedOb"
arm0ky0_SteamVR_Toolkit_Unity,CWE-355,47eb66d235c2e0ec88d8e4034591828a088a5fa3,"chore(Interaction): consistent interaction buttons across examples

Previously, the example scenes had different button configurations for
interactions, some scenes used the Grip button for teleport and the
Trigger button for grab, where as other scenes used Touchpad for
teleport and the Grip button for grab.

This made it confusing to know what the buttons were per each scene.
They are now consistent across all examples with the following config:

  * `Touchpad Press` - Pointer
  * `Grip` - Grab
  * `Trigger` - User",,17,"共 69 处添加, 52 处删除. 示例: 删除: The laser beam is activated by default by pressing the `Grip` on the; 删除: controller. The event it is listening for is the `AliasPointer` events; 删除: so the pointer toggle bu"
augcog_ISAACS_Interface,CWE-1219,f3720f34b7be31bfeb7ac1f22a25069dab3a02fb,Organized Migrated Mesh scripts into folders,,20,"共 26 处添加, 226 处删除. 示例: 删除: ﻿using UnityEngine;; 删除: using SimpleJSON;; 删除: using System;"
augcog_ISAACS_Interface,CWE-569,5757d5770339e116c352958514dbc3b3c09fff66,Factorized code,,2,"共 17 处添加, 30 处删除. 示例: 添加: // Prevent the purple plane from appearing.; 删除: newWaypoint.gameObjectPointer.GetComponent<WaypointProperties>().UpdateGroundpointLine(); // TODO: fix this jank.; 添加: "
aura-hull_AuraVRGame,CWE-1219,0714801017cb278d55411eecfab585ecef237358,Moved files to their folders to make it clearer,,30,"共 293 处添加, 277 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: fe17d6d06c9446245adb71e6d69deb5e; 添加: folderAsset: yes"
aura-hull_AuraVRGame,CWE-355,6452e7e31f3d5f382014c9fb8eaa71107452e39c,Added penguin and a script to control animations for the tutorial.,,120,"共 18532 处添加, 244 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: 89765fb76ad384b4c92953f501b40f3f; 添加: folderAsset: yes"
aura-hull_AuraVRGame,CWE-355,79c369524011ffb0487d492aaa7065c2d214db0c,Added visible hands and enable/disable functionality depending on if the tutorial is active.,,9,"共 217 处添加, 49 处删除. 示例: 删除: private UnityEvent AssetsDoneLoading = new UnityEvent();; 添加: public UnityEvent AssetsDoneLoading = new UnityEvent();; 添加: void Start()"
Auros_SiraUtil,CWE-189,f35067c3b22caac09e9b8ad2f6fe7960ba448d37,converters,,4,"共 68 处添加, 37 处删除. 示例: 添加: using System;; 添加: using UnityEngine;; 添加: using IPA.Config.Data;"
Auros_SiraUtil,CWE-411,ac00d850a90e14bea22d88fe3e6a526371c56ca3,lock-dep spark color changer,,2,"共 28 处添加, 1 处删除. 示例: 添加: .Expose<SaberClashEffect>(); 添加: ; 添加: using Zenject;"
Auros_SiraUtil,CWE-355,56979a2c0ca8dbee693037c3f9b919a0d57ebb48,FromNewComponentAsViewController,,1,"共 59 处添加, 1 处删除. 示例: 删除: ﻿using SiraUtil.Objects;; 添加: ﻿using HMUI;; 添加: using IPA.Utilities;"
Auros_SiraUtil,CWE-355,812210a4fd7bc9ff37baf33e1a25d5f5737f6c39,Score Submission UI,,8,"共 203 处添加, 0 处删除. 示例: 添加: using SiraUtil.Submission;; 添加: Container.Bind<SubmissionDataContainer>().AsSingle();; 添加: using SiraUtil.Submission;"
Auros_SiraUtil,CWE-1213,735ab498df1722ab6cd8540e94c8e06ce0cc48fa,Bind System Random if not present,,1,"共 2 处添加, 0 处删除. 示例: 添加: using System;; 添加: Container.Bind<Random>().AsSingle().IfNotBound();"
Auros_SiraUtil,CWE-355,92ddbbfb4667371fb9be9992792d0fb7fd637887,Apply input focus patch to UnityXRHelper,,1,"共 3 处添加, 6 处删除. 示例: 删除: private readonly bool _isOculus;; 删除: private readonly IVRPlatformHelper _vrPlatformHelper;; 删除: public FPFCFixDaemon(IFPFCSettings fpfcSettings, IVRPlatformHelper vrPlatformHe"
azb_UnityVRTutorialMaker,CWE-355,a0e82cfe1a3fee7f73887cba65f2cb188c5e0764,Create VRPlaySpace.prefab.meta,,1,"共 7 处添加, 0 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: c9cd4cbee349dd047ab82110b53a5fca; 添加: PrefabImporter:"
azb_UnityVRTutorialMaker,CWE-387,e8706c713eacddca3f7aebf6e9e833f55c1cbdb4,Got rid of warning messages in Oculus Sample Framework,,8,"共 23 处添加, 28 处删除. 示例: 删除: private int renderPartCount = 0;; 删除: private ovrAvatarDebugContext debugContext = ovrAvatarDebugContext.None;; 删除: private OVRInput.Controller m_controller;"
Barliesque_HandsOnVR,CWE-355,8f84cf6a160c74e81987ef706a824b40dd4ba2ed,Added support for hand grab poses,,13,"共 4263 处添加, 27 处删除. 示例: 删除: - [ ] GrabMugHandle; 添加: - [x] GrabMugHandle; 删除: - [ ] Apply hand grab poses to solid hand"
Barliesque_HandsOnVR,CWE-569,64f610d84c00eeeae39de7878fdc4da804ccf818,Minor code formatting,,3,"共 10 处添加, 11 处删除. 示例: 删除: protected override void CustomInspector(GrabAnchor inst); 添加: override protected void CustomInspector(GrabAnchor inst); 删除: grabbable = inst.GetComponentInParent<Grabbable>(t"
Barliesque_HandsOnVR,CWE-189,d7f3355de71af71c9a3ff43ccb55405bf135aa6d,Renamed Normalize to InverseLerp,,2,"共 51 处添加, 54 处删除. 示例: 删除: ; 删除: [CustomPropertyDrawer(typeof(LinearLimits))]; 删除: public class LinearLimitsDrawer : PropertyDrawer"
benaclejames_VRCFaceTracking,CWE-355,3a446b14a4fec29f697ee1edea4af6a7761323c8,Updated quickmenu icon to better fit with existing icons,,3,"共 20 处添加, 25 处删除. 示例: 删除: public FaceTrackingMenu(Transform parentMenuTransform); 添加: public FaceTrackingMenu(Transform parentMenuTransform, AssetBundle bundle); 删除: var bundle = AssetBundle.LoadFromM"
benaclejames_VRCFaceTracking,CWE-1228,de11a445a7a74383b6ea4eed779411ce56b42b7d,Updated external tracking module to use references instead of extension methods,,1,"共 15 处添加, 7 处删除. 示例: 添加: using System.Threading;; 删除: public static void Update(this Eye data, ExampleExternalTrackingDataEye external); 添加: public static void Update(ref Eye data, ExampleExternalTrac"
benaclejames_VRCFaceTracking,CWE-310,e20f9aeeac3921e20266975ac5fbee81a2f1a17a,Optimized OSC encoder,,7,"共 79 处添加, 77 处删除. 示例: 删除: ﻿using System;; 删除: using System.Collections.Generic;; 添加: ﻿using System.Collections.Generic;"
benaclejames_VRCFaceTracking,CWE-1227,30dce2fb2c0fb891f67e5a127ed4a612fc836923,Optimized osc bundle writer,,4,"共 21 处添加, 16 处删除. 示例: 添加: using System.Threading;; 删除: public class MainStandalone; 添加: public static class MainStandalone"
benaclejames_VRCFaceTracking,CWE-1228,0c2a1b7f89fb46693898ca35fd5109ba6ce32602,Re-implemented external module support,,6,"共 50 处添加, 40 处删除. 示例: 删除: var dirName = Path.Combine(Path.GetTempPath(), ""VRCFaceTracking"");; 添加: var dirName = Path.Combine(Utils.DataDirectory, ""StockLibs"");; 删除: using System.Runtime.InteropService"
benaclejames_VRCFaceTracking,CWE-355,89ac7acdb71e6c891c28b5e7cff8cbc3593d4eac,Cleaned up and merging in UI branch,,13,"共 190 处添加, 192 处删除. 示例: 添加: ﻿using System;; 添加: using System.Text.RegularExpressions;; 添加: "
benaclejames_VRCFaceTracking,CWE-417,3d2e40acd678a34d107bacd2e2a3eca9dba2ea38,"Fixed an issue where the vrcft logo would go invisible if no modules initialized, fixed a problem where sending too may osc parameters would fill up vrchat's internal 4096 byte recv buffer. VRCFT will now split up these parameters into different sends (all your fault Rantis)",,9,"共 28 处添加, 19 处删除. 示例: 删除: private static IEnumerable<OscMessage> ConstructMessages(IEnumerable<OSCParams.BaseParam> parameters) =>; 添加: private static List<OscMessage> ConstructMessages(IEnumerable<OS"
benaclejames_VRCFaceTracking,CWE-1218,36c1aa5b882c7b4ca655f452dc8035570b148226,Fixed dumbdumb memory leak,,1,"共 5 处添加, 5 处删除. 示例: 添加: LipData_v2 lipData = default;; 添加: EyeData_v2 eyeData = default;; 删除: if (eye && SRanipal_Eye_API.IsViveProEye())"
benaclejames_VRCFaceTracking,CWE-1228,482d9a3cb9810141d589509ddf29de7713fd7028,Added more external modules,,1,"共 4 处添加, 0 处删除. 示例: 添加: * [LiveLink](https://github.com/Dazbme/VRCFaceTracking-LiveLink) - Adds support for LiveLink face tracking (iPhone); 添加: * [PimaxEyeTracking](https://github.com/Dazbme/VRCFaceT"
benaclejames_VRCFaceTracking,CWE-1219,64689f5a42fec8835e69f8da59bd1d1f34d2204b,remove junk .vs files,,3,"共 0 处添加, 0 处删除. 示例: "
benaclejames_VRCFaceTracking,CWE-1218,bdbd54efea58883458cbbae743b5bc144416d955,Re-implemented osc message buffer staggering for large amounts of messages,,1,"共 13 处添加, 2 处删除. 示例: 删除: var bundle = new OscBundle(messages);; 删除: OscMain.Send(bundle.Data);; 添加: while (messages.Count > 0)"
benaclejames_VRCFaceTracking,CWE-569,7e1ec78fb68bd72e53804f0146710b52c7855037,Add LipShapes Unified Expressions,,2,"共 91 处添加, 0 处删除. 示例: 添加: ﻿namespace VRCFaceTracking.Params.Lip; 添加: {; 添加: // TODO: Create expressions map to relate legacy shapes to new ones"
benaclejames_VRCFaceTracking,CWE-1219,d38d856e6af6ff14e944860892561ea2051755ed,Removed accidentally committed files.,,10,"共 1 处添加, 11 处删除. 示例: 删除: Project(""{9A19103F-16F7-4668-BE54-9A1E7A4F7556}"") = ""TCPTrackingInterface"", ""TCPSocketsTrackingInterface\TCPTrackingInterface.csproj"", ""{6B48EA9B-2E7E-472D-A193-5849D5F500F5}"""
benaclejames_VRCFaceTracking,CWE-355,99a6abe44a52abf2d86fa525f8974257b74634dc,"Corrected to sneers and reverted eye closed behavior in ALVR module.
Further defined tongue step SRanipal emulation.
Capped off Mouth Upper Up and Lower Down emulation.
Corrected BrowsY expression.
Reformulated SRanipal EyeExpandedSqueeze parameters to allow all interfaces to behave more like SRanipal.",,4,"共 37 处添加, 28 处删除. 示例: 删除: // eyeClosedL = Math.Min(1, eyeClosedL + expressions[(int)FBExpression.Lid_Tightener_L] * 0.5f);; 删除: // eyeClosedR = Math.Min(1, eyeClosedR + expressions[(int)FBExpression.L"
benaclejames_VRCFaceTracking,CWE-189,fdf02a2842b293c5c984e37bb36d24e358ac1ae8,Added cap to calibration multiplied parameters.,,1,"共 1 处添加, 1 处删除. 示例: 删除: inputData.Shapes[i].Weight = inputData.Shapes[i].Weight * MutationData.ShapeMutations[i].CalibrationMult;; 添加: inputData.Shapes[i].Weight = Math.Min(1, (inputData.Shapes[i].Wei"
benaclejames_VRCFaceTracking,CWE-1219,001a863659a6f12d43eff2ce186a989ab4f69052,Removed unused files,,1,"共 0 处添加, 54 处删除. 示例: 删除: ﻿namespace VRCFaceTracking.Params; 删除: {; 删除: /// <summary>"
benaclejames_VRCFaceTracking,CWE-1219,5d7d16c561782b3f5c037707cd71b3e03d157d01,"Remove .vs folder, move OSCUtils to new class",,9,"共 24 处添加, 19 处删除. 示例: 删除: public static class OSCUtils; 删除: {; 删除: public static byte[] EnsureCompliance(this byte[] inputArr)"
benaclejames_VRCFaceTracking,CWE-1210,6c92979fd23648404a1bc4a3aa37efb0c4982e5b,Added latest.log loggingservice and moved output page logging classes to their own files,,6,"共 90 处添加, 42 处删除. 示例: 添加: ﻿using Microsoft.Extensions.Logging;; 添加: ; 添加: namespace VRCFaceTracking.Core.Services;"
benaclejames_VRCFaceTracking,CWE-569,29833b8039888efad9ab76eec7287100309115d7,Optimize localized code,,4,"共 121 处添加, 31 处删除. 示例: 删除: </root>; 添加: <data name=""About.Text"" xml:space=""preserve"">; 添加: <value>About</value>"
benaclejames_VRCFaceTracking,CWE-387,9ee71a36f30c866e7d53664b5c168aa66e0da6d4,Beep boop binary go brr,,1,"共 2 处添加, 3 处删除. 示例: 添加: if (value) Enqueue();; 添加: ; 删除: {"
benaclejames_VRCFaceTracking,CWE-355,483a6a38a870ec0af857d818b76005203c91441f,Removed CalibrationSettingsViewModel.cs and ICalibrationSettings.cs in favor of a direct INotifyPropertyChanged interface,,10,"共 66 处添加, 70 处删除. 示例: 删除: ﻿namespace VRCFaceTracking.Core.Contracts.Services;; 添加: ﻿using System.ComponentModel;; 删除: public interface IAvatarInfo"
benaclejames_VRCFaceTracking,CWE-1219,0c4e5cf063b718cf851b7e86b8085a1a8c7ac8e4,use system environment variable for Appdata and Appdata/LocalLow paths instead of using Environment.SpecialFolder,,2,"共 2 处添加, 3 处删除. 示例: 删除: public static readonly string PersistentDataDirectory = Path.Combine(Environment.GetFolderPath(Environment.SpecialFolder.ApplicationData), ""VRCFaceTracking"");; 添加: public stati"
benaclejames_VRCFaceTracking,CWE-417,3c06c4152745fe3cd4d8791613685cd42819ef32,Fixed an issue where users were able to enter invalid port ranges into the settings tab's OSC settings,,4,"共 42 处添加, 27 处删除. 示例: 删除: namespace VRCFaceTracking; 添加: namespace VRCFaceTracking;; 添加: "
benaclejames_VRCFaceTracking,CWE-275,377ee379bd2f701f47dc59f785b90c7020a08a42,fix(installer): Removed elevated permissions,,1,"共 0 处添加, 4 处删除. 示例: 删除: xmlns:desktop6=""http://schemas.microsoft.com/appx/manifest/desktop/windows10/6""; 删除: <desktop6:FileSystemWriteVirtualization>disabled</desktop6:FileSystemWriteVirtualization>; "
benaclejames_VRCFaceTracking,CWE-399,ba337dba059c47d8933d0fc3ea3db5b62d877e0c,fix(dns): Fixed crash due to empty dns resource arrays,,1,"共 4 处添加, 4 处删除. 示例: 删除: public DNSQuestion[] questions;; 删除: public DNSResource[] answers;; 删除: public DNSResource[] authorities;"
benaclejames_VRCFaceTracking,CWE-387,19fb07650bca6ee8d93ada0ef8ac3f26a9b3d13d,fix(parameters): Fixed issue where we'd send both native eye tracking and UE eye tracking at the same time,,1,"共 1 处添加, 1 处删除. 示例: 删除: return allParams.Where(p => param.Any(p2 => p.paramName == p2.Name)).ToArray();; 添加: return allParams.Where(p => param.Any(p2 => p2.Address.EndsWith(p.paramName))).ToArray();"
benaclejames_VRCFaceTracking,CWE-1213,a58de2656ffc39ee737b9f36514532e30ab12dc4,feat: Randomise app name in oscquery to allow us to restart the app at runtime and continue to use random ports,,2,"共 10 处添加, 3 处删除. 示例: 添加: var randomStr = new string(Enumerable.Repeat(chars, 8).Select(s => s[Random.Next(s.Length)]).ToArray());; 添加: ; 添加: _httpHandler.SetAppName(""VRCFT-"" + randomStr);"
benaclejames_VRCFaceTracking,CWE-1210,e6f480a7accb541980150037f5cb3cb42b2239cc,feat: Add console logger to logging providers for easier debugging,,1,"共 1 处添加, 0 处删除. 示例: 添加: logging.AddConsole();"
benaclejames_VRCFaceTracking,CWE-1210,3f7ce54509985af194d5fadf4ac9abb89149f235,fix(logging): Fixed exception spam in file logger,,1,"共 4 处添加, 2 处删除. 示例: 删除: finally; 添加: catch; 删除: Mutex.ReleaseMutex(); // Release the semaphore"
benaclejames_VRCFaceTracking,CWE-569,58e508ed792712f8ee778f862dd5d3937edc7c4b,fix: Syntax issue,,1,"共 3 处添加, 3 处删除. 示例: 添加: ; 添加: var content = await response.Content.ReadAsStringAsync();; 添加: return await Json.ToObjectAsync<List<InstallableTrackingModule>>(content);"
BioMotionLab_TUX,CWE-389,8c1001b3b59690169c52771b27eaa430af7fac95,Bug Fixes,,26,"共 288 处添加, 121 处删除. 示例: 添加: Requirements; 添加: Basic coding experience with C# and Unity. At the bare minimum you should know about; 添加: C#"
BioMotionLab_TUX,CWE-1225,dbfe18a8a33bc7093c308f7de464d4d2dba65bf8,Create BML_experiment_toolkit_v0.5.2.unitypackage,,1,"共 0 处添加, 0 处删除. 示例: "
BioMotionLab_TUX,CWE-355,f483faffa3f8bda66137b3a5d3abb30d5adf4d85,Reorganized menus,,12,"共 52 处添加, 89 处删除. 示例: 删除: <Path>Temp</Path>; 添加: <change beforePath=""$PROJECT_DIR$/.idea/.idea.GettingStartedTutorialProject/.idea/indexLayout.xml"" beforeDir=""false"" afterPath=""$PROJECT_DIR$/.idea/.id"
BioMotionLab_TUX,CWE-355,dd5a25f4a705cf98c8a56bb2d33caa4289509538,Improved performance of experiment runner UI in VR and for experiments with more than 500 trials.,,14,"共 841 处添加, 524 处删除. 示例: 添加: m_StyleSheet: {fileID: 0}; 添加: m_TextStyleHashCode: 0; 添加: m_HorizontalAlignment: 1"
BioMotionLab_TUX,CWE-1210,b4404368f764032a1124d04cdb87424097fc1ba9,updated logging,,32,"共 149 处添加, 107 处删除. 示例: 添加: <e p=""tuxLog.cs"" t=""Include"" />; 删除: targetDisplay: 1; 添加: targetDisplay: 0"
